Dealer Name,website,street,city,state,zip,phone
Winner Ford,http://www.winnerfordofdover.com,591 South Dupont Highway,Dover,DE,19901,(888) 879-9127
Willis Ford  Inc.,http://www.willisford.net,15 North Dupont Blvd,Smyrna,DE,19977,(302) 653-5900
Hertrich's Ford Lincoln of Milford,http://www.hertrichford.com,1427 Bay Road,Milford,DE,19963,(302) 422-5452
Boulevard Auto Sales Inc.,http://www.boulevardford.com,40 Bridgeville Road,Georgetown,DE,19947,(800) 869-9968
Frederick Ford  Inc.,http://www.frederickford.net,Route 13 South,Seaford,DE,19973,(302) 629-4553
Carman Ford Lincoln,http://www.carman-ford.com,193 S Dupont Highway,New Castle,DE,19720,(302) 323-2300
Bayshore Ford Truck Sales,http://www.bayshoreford.net,4003 North DuPont Highway,New Castle,DE,19720,(302) 656-3160
Sheridan Ford Sales,http://www.sheridanautosaleswilmington.com,4001 Kirkwood Highway,Wilmington,DE,19808,(800) 931-6764
Porter Ford,http://www.porterford.net,600 Ogletown Road,Newark,DE,19711,(302) 738-0800
