Dealer Name,website,street,city,state,zip,phone
Kendall Ford Lincoln of Anchorage,http://www.kendallfordanchorage.com,1950 Gambell,Anchorage,AK,99501,(907) 276-5300
Kendall Ford of Wasilla,http://www.kendallfordwasilla.net,2701 E. Mountain Village Drive,Wasilla,AK,99654,(855) 606-0623
Seekins Ford Lincoln,http://www.seekinsford.net,1625 Seekins Ford Drive,Fairbanks,AK,99701,(907) 459-4000
Karlson Motors,http://www.karlsonmotors.com,5010 North Tongass Hwy,Ketchikan,AK,99901,(907) 225-9022
Kendall Ford Kenai  LLC,http://www.kendallfordkenai.net,10288 Kenai Spur Highway,Kenai,AK,99611,(907) 262-5491
