Dealer Name,website,street,city,state,zip,phone
Cutter Ford,http://www.cutterfordsales.com,98-015 Kam Hwy,Aiea,HI,96701,(808) 564-9777
Honolulu Ford,http://www.honoluluford.com,1370 N. King St.,Honolulu,HI,96817,(808) 532-1700
Windward Ford of Hawaii,http://www.windwardfordhawaii.com,725 Kailua Road,Kailua,HI,96734,(808) 266-7000
Orchid Isle Auto Center,http://www.fords-online.com,1030 Kanoelehua Avenue,Hilo,HI,96720,(800) 729-2517
Valley Isle Motors Ltd,http://www.fordofhawaii.com,221 Puunene Ave.,Kahului,HI,96732,(808) 877-3673
Kuhio Ford,http://www.kuhioford.net,3050 Hoolako Street,Lihue,HI,96766,(808) 245-3673
